Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
FRAZER DODD,Alvernia University,53,C,18,38,32,70,9,14,4,1,26,9
MATIAS WEIR,Florida Atlantic University,28,RW,26,29,39,68,5,13,2,1,14,4
CAM MOORE,Penn State University - Harrisburg,28,F,27,33,32,65,3,5,3,0,32,3
MATTHEW CONNELLY,Georgia Tech,17,F,24,33,26,59,2,9,4,0,8,4
JACOB FRIEDMAN,Florida Atlantic University,14,F,26,26,30,56,8,11,4,2,43,3
JACKSON KATZ,University of Georgia,23,C,29,24,32,56,9,12,1,2,16,2
MATTHEW FROMER,Florida Southern College - FCHC,"10, 15",F,19,20,34,54,5,5,3,1,99,2
RILEY EGAN,Alvernia University,28,F,19,21,32,53,3,11,1,1,14,1
DEREK MORGIA,Florida Institute of Technology - FCHC,72,F,20,34,17,51,8,8,4,0,4,5
CHRISTOPHER DRESSLER,Ramapo College,15,RW,18,29,21,50,8,2,0,2,59,5
ANTONIO FEMIA,St John Fisher College,21,RW,20,27,23,50,5,2,3,2,12,4
RYAN LICURSI,St John Fisher College,4,F,21,21,29,50,2,6,1,1,4,2
DAVID ISRAEL,Florida Atlantic University,18,D,22,16,32,48,5,12,0,4,22,0
CONNOR BOLAND,LeMoyne College,22,F,15,31,16,47,5,6,0,2,4,4
MYLES DAVIDSON,Florida Atlantic University,20,LW,26,23,22,45,8,4,1,2,18,3
GEORGE MESAROS,University of Georgia,26,"F, RW",27,20,25,45,6,6,1,0,51,1
ETHAN KNAUF,Niagara University,15,RW,20,18,27,45,4,13,1,0,4,3
JACK KINSMAN,Erie Community College,11,F,15,25,19,44,2,6,2,2,6,3
JOSEPH DAVIS,University of Tampa,28,D,29,17,27,44,3,9,4,0,40,0
RYYAN REULE,Georgia Tech,14,F,26,21,22,43,5,4,0,1,14,0
DREW ALLAIRE,St John Fisher College,5,C,20,17,26,43,4,2,0,3,28,2
MIKE BOLGER,University of South Carolina,6,F,26,15,27,42,5,5,2,3,10,0
MATT TULLO,University at Buffalo,20,C,22,26,15,41,4,6,2,1,22,2
WILLIAM CODY,University of Tampa,9,RW,28,15,26,41,0,0,0,2,8,0
EDDIE DAHDAH,Ramapo College,7,F,18,24,16,40,1,5,6,2,11,2
